,DATE,ZCODE,SECURITYVARIETYCODE,SWAPVALUE,PUREBONDVALUE,PUREBONDOR,SWAPOR,FCLOSE,SWAPPRICE,USWAPTVOL,USWAPTRATE,SYFE,SECUCODE
360,2026-02-02 00:00:00,118016,1003187673,129.522431259,100.6733011112,40.7344335,9.3880022346,141.682,,,,,118016.SH
361,2026-02-02 00:00:00,118035,1003498015,100.1279181324,101.0702437824,44.34416554,45.7026199297,145.889,,,,,118035.SH
362,2026-02-02 00:00:00,118029,1003328766,152.7956989247,100.1479678568,45.75033635,-4.4698240676,145.966,18.6,,,,118029.SH
363,2026-02-02 00:00:00,118003,1002850621,118.3447749809,108.0477195614,38.81921859,26.7407031905,149.991,,,,,118003.SH
364,2026-02-02 00:00:00,118059,1004438379,102.0363636364,99.7393108943,69.78260475,65.9604419102,169.34,,,,,118059.SH
365,2026-02-02 00:00:00,118054,1004196590,200.8236208236,103.2952061124,130.96134756,18.7967824808,238.572,,,,,118054.SH
366,2026-02-02 00:00:00,118049,1003904140,245.3350854139,102.3520119547,191.60931407,21.6572833423,298.468,,,,,118049.SH
367,2026-02-02 00:00:00,118011,1003135021,100.2875399361,106.5318217625,29.30314879,37.3540522459,137.749,,,,,118011.SH
368,2026-02-02 00:00:00,113070,1004084232,93.77593361,101.3417955219,25.60168225,35.7352522124,127.287,,,,,113070.SH
369,2026-02-02 00:00:00,113042,1002520954,109.5682613769,110.1729011224,13.48434935,14.110599574,125.029,8.57,,,,113042.SH
370,2026-02-02 00:00:00,113666,1003393996,76.2349799733,107.5647012915,16.22028277,63.9824658494,125.012,,,,,113666.SH
371,2026-02-02 00:00:00,113623,1002603553,124.0177439797,111.4353397571,18.95239005,6.8838988247,132.555,,,,,113623.SH
372,2026-02-02 00:00:00,113067,1003543159,90.8108108108,104.0416978044,23.84553763,41.8894940476,128.851,,,,,113067.SH
373,2026-02-02 00:00:00,127084,1003424445,149.4520547945,110.4198470185,70.68580069,26.1080018332,188.471,,24809651.0,82.7,2480965100.0,127084.SZ
374,2026-02-02 00:00:00,113589,1002281275,84.7843775427,106.3560831175,166.5950002,234.4248176583,283.54,12.29,,,,113589.SH
375,2026-02-02 00:00:00,111016,1003540823,119.425087108,100.3885411663,19.02354453,0.0510051058,119.486,11.48,,,,111016.SH
